bin	ch 1	ch 2	ch 3	ch 4	ch 5	ch 6	ch 7	
0.0500	0	0	0	0	2	0	2	
0.1500	0	0	0	0	0	0	1	
0.2500	0	0	0	0	2	1	3	
0.3500	0	0	0	0	1	0	1	
0.4500	0	0	0	0	1	0	1	
0.5500	1	0	0	0	4	1	1	
0.6500	0	0	0	0	4	0	1	
0.7500	0	0	0	0	0	0	2	
0.8500	0	0	0	0	0	0	0	
0.9500	0	0	0	0	2	1	1	
1.0500	0	0	0	0	0	0	0	
1.1500	0	0	0	0	0	0	2	
1.2500	0	0	1	0	1	0	0	
1.3500	0	0	0	0	0	0	1	
1.4500	0	0	0	0	1	0	0	
1.5500	1	0	0	0	0	0	0	
1.6500	0	0	0	0	1	0	1	
1.7500	0	0	0	0	0	1	1	
1.8500	0	0	0	1	0	0	2	
1.9500	0	0	0	0	1	0	0	
2.0500	0	0	1	0	1	1	0	
2.1500	0	2	0	2	1	2	1	
2.2500	0	0	0	0	3	1	0	
2.3500	0	0	0	0	2	4	3	
2.4500	2	0	0	2	2	5	4	
2.5500	1	0	0	0	1	5	3	
2.6500	3	0	1	5	6	2	5	
2.7500	3	0	0	5	5	3	3	
2.8500	4	1	1	1	6	3	3	
2.9500	6	0	3	8	8	4	6	
3.0500	8	2	2	3	9	4	13	
3.1500	10	2	2	11	8	3	13	
3.2500	4	5	3	4	5	3	7	
3.3500	5	2	8	10	11	3	8	
3.4500	11	7	4	4	7	1	6	
3.5500	10	2	3	15	10	2	13	
3.6500	5	4	3	7	14	1	8	
3.7500	11	7	7	9	8	2	16	
3.8500	12	3	13	9	6	3	8	
3.9500	7	9	7	13	12	3	13	
4.0500	5	8	5	8	10	2	5	
4.1500	9	8	10	9	8	2	17	
4.2500	10	9	9	9	15	0	13	
4.3500	13	8	8	13	18	1	8	
4.4500	21	9	6	12	18	2	13	
4.5500	11	8	6	5	17	5	17	
4.6500	16	11	8	9	13	3	25	
4.7500	26	11	9	13	16	3	16	
4.8500	14	12	13	16	16	1	25	
4.9500	17	8	14	13	19	0	24	
5.0500	22	14	10	20	15	2	14	
5.1500	20	9	9	12	18	3	16	
5.2500	23	15	15	18	13	3	24	
5.3500	21	12	12	13	20	2	16	
5.4500	17	17	16	21	22	3	23	
5.5500	34	17	12	27	22	2	25	
