bin	ch 1	ch 2	ch 3	ch 4	ch 5	ch 6	ch 7
0.0500	0	0	0	0	0	0	1
0.1500	0	0	0	0	0	0	0
0.2500	0	0	0	0	0	0	1
0.3500	0	0	0	0	0	0	0
0.4500	0	0	0	0	1	0	0
0.5500	0	0	0	0	0	0	0
0.6500	0	0	0	0	0	0	1
0.7500	0	0	0	0	0	0	0
0.8500	0	0	0	0	0	0	0
0.9500	0	0	0	0	0	0	0
1.0500	0	1	0	0	0	0	0
1.1500	0	0	0	0	0	0	0
1.2500	0	0	0	0	0	0	1
1.3500	0	0	0	0	0	0	0
1.4500	0	0	0	1	0	0	0
1.5500	0	0	0	0	0	0	1
1.6500	0	1	0	1	0	0	0
1.7500	0	0	0	0	0	0	0
1.8500	1	0	0	0	1	0	1
1.9500	0	0	0	0	0	0	0
2.0500	1	0	0	1	1	0	2
2.1500	0	0	0	0	1	1	1
2.2500	0	0	0	0	2	0	2
2.3500	2	0	0	1	4	1	3
2.4500	3	2	0	1	4	1	1
2.5500	5	1	1	2	3	4	5
2.6500	7	0	2	4	6	3	7
2.7500	6	0	4	5	7	5	8
2.8500	7	1	3	6	8	6	5
2.9500	8	0	4	11	10	8	12
3.0500	8	4	3	11	10	6	20
3.1500	11	3	9	17	10	9	14
3.2500	14	7	9	7	11	6	10
3.3500	18	6	11	11	15	2	9
3.4500	13	13	5	12	10	4	11
3.5500	13	8	13	15	12	10	11
3.6500	15	11	12	7	16	5	13
3.7500	16	7	6	15	17	1	9
3.8500	12	6	9	9	18	9	15
3.9500	16	10	7	10	6	5	23
4.0500	19	10	5	13	12	3	14
4.1500	14	6	12	13	20	0	22
4.2500	16	8	6	14	17	0	27
4.3500	16	13	10	10	15	2	19
4.4500	20	12	6	23	23	3	17
4.5500	22	14	14	14	17	3	23
4.6500	14	15	10	18	21	3	28
4.7500	25	11	16	17	17	2	30
4.8500	27	18	16	17	26	3	28
4.9500	22	11	22	9	28	1	31
5.0500	21	17	11	33	27	2	26
5.1500	27	10	20	22	23	2	31
5.2500	35	17	26	23	28	1	25
5.3500	24	20	16	30	33	2	26
5.4500	38	18	18	29	32	2	25
5.5500	32	20	31	16	29	2	29
5.6500	25	27	26	30	30	4	19
5.7500	34	20	23	18	40	0	33
5.8500	24	24	26	30	33	2	32
5.9500	19	27	29	39	39	2	23
